sample	CellType	Cell.type2	Tissue	Age	Nmut	SBS1	SBS5	SBS8	clock_like	SBS9	SBS18	SBS7a	SBS17b	mutations	abs_clock	id
B1_C10	B Naive	Naive B	blood	63	998	0.115337194	0.884662806	0	1	0	0	0	0	997	997	B1
B1_D8	B Naive	Naive B	blood	63	838	0.103597207	0.896402793	0	1	0	0	0	0	836	836	B1
B1_G7	B Memory	Memory B	blood	63	1970	0.058839068	0.478557614	0	0.537396683	0.462603317	0	0	0	1960	1053.297498	B1
B10_G7	B Memory	Memory B	blood	63	1289	0.088546565	0.592592967	0	0.681139533	0.318860467	0	0	0	1287	876.6265789	B10
B11_A7	B Naive	Naive B	blood	63	732	0.141477645	0.858522355	0	1	0	0	0	0	730	730	B11
B12_B4	B Naive	Naive B	blood	63	446	0.134503558	0.865496442	0	1	0	0	0	0	445	445	B12
B12_D10	B Naive	Naive B	blood	63	1055	0.104225782	0.895774218	0	1	0	0	0	0	1047	1047	B12
B13_D9	B Naive	Naive B	blood	63	1166	0.1357091	0.8642909	0	1	0	0	0	0	1159	1159	B13
B13_H6	B Memory	Memory B	blood	63	877	0.072138856	0.47366984	0.10269441	0.648503107	0.351496893	0	0	0	876	568.0887214	B13
B14_A5	B Naive	Naive B	blood	63	1035	0.092825463	0.907174537	0	1	0	0	0	0	1027	1027	B14
B15_A1	B Naive	Naive B	blood	63	1247	0.105289366	0.894710634	0	1	0	0	0	0	1243	1243	B15
B15_B4	B Naive	Naive B	blood	63	1188	0.099959872	0.900040128	0	1	0	0	0	0	1180	1180	B15
B15_B8	B Naive	Naive B	blood	63	932	0.099353087	0.900646913	0	1	0	0	0	0	932	932	B15
B15_D9	B Naive	Naive B	blood	63	719	0.104464332	0.895535668	0	1	0	0	0	0	719	719	B15
B15_G10	B Memory	Memory B	blood	63	3315	0.049390205	0.353000165	0	0.40239037	0.59760963	0	0	0	3304	1329.497782	B15
B15_G3	B Memory	Memory B	blood	63	2213	0.054185226	0.409383919	0	0.463569145	0.536430855	0	0	0	2206	1022.633534	B15
B17_C9	B Naive	Naive B	blood	63	733	0.11340097	0.88659903	0	1	0	0	0	0	731	731	B17
B17_F2	B Memory	Memory B	blood	63	1429	0.114167036	0.605070499	0.186938724	0.906176259	0.093823741	0	0	0	1425	1291.301169	B17
B18_C3	B Naive	Naive B	blood	63	1054	0.090009302	0.909990698	0	1	0	0	0	0	1051	1051	B18
B18_D1	B Naive	Naive B	blood	63	1470	0.089277347	0.635287938	0.163868968	0.888434254	0.111565746	0	0	0	1464	1300.667747	B18
B18_D10	B Naive	Naive B	blood	63	930	0.11262115	0.88737885	0	1	0	0	0	0	930	930	B18
B20_A11	B Naive	Naive B	blood	63	938	0.127753067	0.872246933	0	1	0	0	0	0	935	935	B20
B20_C1	B Naive	Naive B	blood	63	1175	0.108626121	0.891373879	0	1	0	0	0	0	1172	1172	B20
B20_F1	B Memory	Memory B	blood	63	1488	0.050091753	0.631441723	0	0.681533477	0.318466523	0	0	0	1482	1010.032612	B20
B20_G6	B Memory	Memory B	blood	63	1787	0.073613764	0.535464747	0.201848054	0.810926565	0.189073435	0	0	0	1781	1444.260212	B20
B3_B5	B Naive	Naive B	blood	63	1162	0.110515551	0.889484449	0	1	0	0	0	0	1156	1156	B3
B3_D12	B Naive	Naive B	blood	63	1015	0.145412685	0.854587315	0	1	0	0	0	0	1011	1011	B3
B3_D2	B Naive	Naive B	blood	63	1095	0.098333303	0.901666697	0	1	0	0	0	0	1091	1091	B3
B4_F5	B Memory	Memory B	blood	63	1812	0.05745073	0.372362538	0.112760704	0.542573972	0.457426028	0	0	0	1805	979.3460192	B4
B5_C11	B Naive	Naive B	blood	63	1128	0.083759225	0.916240775	0	1	0	0	0	0	1126	1126	B5
B5_C8	B Naive	Naive B	blood	63	951	0.091835977	0.908164023	0	1	0	0	0	0	944	944	B5
B6_H2	B Memory	Memory B	blood	63	1806	0.054127149	0.481337923	0	0.535465072	0.306761817	0	0	0.157773111	1800	963.8371302	B6
B7_B7	B Naive	Naive B	blood	63	864	0.119216838	0.880783162	0	1	0	0	0	0	862	862	B7
B7_E6	B Memory	Memory B	blood	63	3950	0.055273966	0.350774416	0	0.406048382	0.593951618	0	0	0	3927	1594.551995	B7
B8_C3	B Naive	Naive B	blood	63	1190	0.099237161	0.900762839	0	1	0	0	0	0	1186	1186	B8
B8_E11	B Memory	Memory B	blood	63	1346	0.119610092	0.880389908	0	1	0	0	0	0	1342	1342	B8
